Id,Position,FirstName,Nickname,LastName,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17288-62497,RB,David,,Johnson,23.5,13,9800,NO@ARI,ARI,NO,,
17288-28181,RB,Le'Veon,,Bell,23.71000061,10,9400,PIT@CIN,PIT,CIN,,
17288-6779,RB,LeSean,,McCoy,18.15000025,12,9000,CLE@BUF,BUF,CLE,,
17288-31360,WR,Odell,,Beckham Jr.,15.5692303,13,8600,DET@NYG,NYG,DET,,
17288-11612,WR,Antonio,,Brown,17.41538415,13,8500,PIT@CIN,PIT,CIN,,
17288-6616,QB,Matt,,Ryan,21.97692402,13,8500,SF@ATL,ATL,SF,,
17288-6894,QB,Aaron,,Rodgers,23.35846182,13,8500,GB@CHI,GB,CHI,Q,Calf
17288-38791,RB,Ezekiel,,Elliott,20.10769184,13,8500,TB@DAL,DAL,TB,,
17288-14190,WR,Julio,,Jones,15.94166692,12,8400,SF@ATL,ATL,SF,O,Toe
17288-6504,QB,Drew,,Brees,21.60769184,13,8200,NO@ARI,NO,ARI,,
17288-32384,WR,Mike,,Evans,16.46153846,13,8200,TB@DAL,TB,DAL,,
17288-6498,QB,Tom,,Brady,22.9933336,9,8100,NE@DEN,NE,DEN,,
17288-21939,QB,Andrew,,Luck,21.30333328,12,8100,IND@MIN,IND,MIN,,
17288-28900,RB,Melvin,,Gordon,17.70000047,13,8000,OAK@SD,SD,OAK,O,Hip
17288-6589,QB,Ben,,Roethlisberger,19.09666697,12,8000,PIT@CIN,PIT,CIN,,
17288-45859,QB,Derek,,Carr,18.49076961,13,7900,OAK@SD,OAK,SD,,
17288-31716,QB,Dak,,Prescott,18.8738462,13,7900,TB@DAL,DAL,TB,,
17288-24849,QB,Jameis,,Winston,17.78923035,13,7800,TB@DAL,TB,DAL,,
17288-6654,QB,Matthew,,Stafford,18.78307636,13,7800,DET@NYG,DET,NYG,,
17288-7968,QB,Philip,,Rivers,17.53538513,13,7800,OAK@SD,SD,OAK,,
17288-24920,RB,Devonta,,Freeman,14.27692355,13,7700,SF@ATL,ATL,SF,,
17288-6826,QB,Eli,,Manning,15.51538438,13,7700,DET@NYG,NYG,DET,,
17288-29358,QB,Marcus,,Mariota,19.5569235,13,7700,TEN@KC,TEN,KC,,
17288-6893,WR,Jordy,,Nelson,15.29230793,13,7700,GB@CHI,GB,CHI,,
17288-14377,QB,Tyrod,,Taylor,17.68461492,13,7600,CLE@BUF,BUF,CLE,,
17288-6748,QB,Carson,,Palmer,16.66166687,12,7600,NO@ARI,ARI,NO,,
17288-14187,WR,A.J.,,Green,15.33999939,10,7600,PIT@CIN,CIN,PIT,O,Hamstring
17288-14225,QB,Andy,,Dalton,17.70000047,13,7600,PIT@CIN,CIN,PIT,,
17288-11435,WR,Dez,,Bryant,11.74000015,10,7500,TB@DAL,DAL,TB,Q,Back
17288-14231,QB,Colin,,Kaepernick,18.45999908,8,7500,SF@ATL,SF,ATL,,
17288-31001,WR,Amari,,Cooper,12.73076923,13,7400,OAK@SD,OAK,SD,Q,Shoulder
17288-6714,QB,Joe,,Flacco,16.85999944,13,7400,PHI@BAL,BAL,PHI,,
17288-14254,RB,DeMarco,,Murray,18.5615387,13,7400,TEN@KC,TEN,KC,,
17288-22031,WR,T.Y.,,Hilton,15.02307716,13,7300,IND@MIN,IND,MIN,,
17288-22037,RB,Lamar,,Miller,12.28461515,13,7200,JAC@HOU,HOU,JAC,,
17288-6883,WR,Larry,,Fitzgerald,12.70769207,13,7200,NO@ARI,ARI,NO,,
17288-33557,TE,Tyler,,Eifert,11.78571429,7,7200,PIT@CIN,CIN,PIT,,
17288-28473,RB,Carlos,,Hyde,14.60909063,11,7000,SF@ATL,SF,ATL,,
17288-33076,TE,Travis,,Kelce,11.23846201,13,6900,TEN@KC,KC,TEN,,
17288-45889,WR,Davante,,Adams,13.32307669,13,6900,GB@CHI,GB,CHI,,
17288-34331,RB,Latavius,,Murray,15.89999945,11,6800,OAK@SD,OAK,SD,,
17288-8005,QB,Alex,,Smith,14.21999995,12,6800,TEN@KC,KC,TEN,,
